CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,BalancePerProduct,BalanceSalaryRatio,TenureAgeRatio,IsZeroBalance,AgeGroup_30-45,AgeGroup_45-60,AgeGroup_60+
619,0,42,2,0.0,1,1,1,101348.88,0,0,0.0,0.0,0.047619047619047616,1,1,0,0
608,0,41,1,83807.86,1,0,1,112542.58,0,1,83807.86,0.7446769036217226,0.024390243902439025,0,1,0,0
502,0,42,8,159660.8,3,1,0,113931.57,0,0,53220.26666666666,1.4013745268322026,0.19047619047619047,0,1,0,0
699,0,39,1,0.0,2,0,0,93826.63,0,0,0.0,0.0,0.02564102564102564,1,1,0,0
850,0,43,2,125510.82,1,1,1,79084.1,0,1,125510.82,1.5870550464631954,0.046511627906976744,0,1,0,0
645,1,44,8,113755.78,2,1,0,149756.71,0,1,56877.89,0.7596038935417319,0.18181818181818182,0,1,0,0
822,1,50,7,0.0,2,1,1,10062.8,0,0,0.0,0.0,0.14,1,0,1,0
376,0,29,4,115046.74,4,1,0,119346.88,1,0,28761.685,0.9639693974404694,0.13793103448275862,0,0,0,0
501,1,44,4,142051.07,2,0,1,74940.5,0,0,71025.535,1.8955180443151567,0.09090909090909091,0,1,0,0
684,1,27,2,134603.88,1,1,1,71725.73,0,0,134603.88,1.876647055387237,0.07407407407407407,0,0,0,0
528,1,31,6,102016.72,2,0,0,80181.12,0,0,51008.36,1.2723284483928388,0.1935483870967742,0,1,0,0
497,1,24,3,0.0,2,1,0,76390.01,0,1,0.0,0.0,0.125,1,0,0,0
476,0,34,10,0.0,2,1,0,26260.98,0,0,0.0,0.0,0.29411764705882354,1,1,0,0
549,0,25,5,0.0,2,0,0,190857.79,0,0,0.0,0.0,0.2,1,0,0,0
635,0,35,7,0.0,2,1,1,65951.65,0,1,0.0,0.0,0.2,1,1,0,0
616,1,45,3,143129.41,2,0,1,64327.26,1,0,71564.705,2.2250195329320728,0.06666666666666667,0,0,1,0
653,1,58,1,132602.88,1,1,0,5097.67,1,0,132602.88,26.01244882465911,0.017241379310344827,0,0,1,0
549,0,24,9,0.0,2,1,1,14406.41,0,1,0.0,0.0,0.375,1,0,0,0
587,1,45,6,0.0,1,0,0,158684.81,0,1,0.0,0.0,0.13333333333333333,1,0,1,0
726,0,24,6,0.0,2,1,1,54724.03,0,0,0.0,0.0,0.25,1,0,0,0
732,1,41,8,0.0,2,1,1,170886.17,0,0,0.0,0.0,0.1951219512195122,1,1,0,0
636,0,32,8,0.0,2,1,0,138555.46,0,1,0.0,0.0,0.25,1,1,0,0
510,0,38,4,0.0,1,1,0,118913.53,0,1,0.0,0.0,0.10526315789473684,1,1,0,0
669,1,46,3,0.0,2,0,1,8487.75,0,0,0.0,0.0,0.06521739130434782,1,0,1,0
846,0,38,5,0.0,1,1,1,187616.16,0,0,0.0,0.0,0.13157894736842105,1,1,0,0
577,1,25,3,0.0,2,0,1,124508.29,0,0,0.0,0.0,0.12,1,0,0,0
756,1,36,2,136815.64,1,1,1,170041.95,1,0,136815.64,0.8045993356345302,0.05555555555555555,0,1,0,0
571,1,44,9,0.0,2,0,0,38433.35,0,0,0.0,0.0,0.20454545454545456,1,1,0,0
574,0,43,3,141349.43,1,1,1,100187.43,1,0,141349.43,1.4108499439500544,0.06976744186046512,0,1,0,0
411,1,29,0,59697.17,2,1,1,53483.21,0,0,29848.585,1.1161852476693153,0.0,0,0,0,0
591,0,39,3,0.0,3,1,0,140469.38,0,1,0.0,0.0,0.07692307692307693,1,1,0,0
533,1,36,7,85311.7,1,0,1,156731.91,0,0,85311.7,0.5443160872600863,0.19444444444444445,0,1,0,0
553,1,41,9,110112.54,2,0,0,81898.81,1,0,55056.27,1.344494993272796,0.21951219512195122,0,1,0,0
520,0,42,6,0.0,2,1,1,34410.55,0,1,0.0,0.0,0.14285714285714285,1,1,0,0
722,0,29,9,0.0,2,1,1,142033.07,0,1,0.0,0.0,0.3103448275862069,1,0,0,0
475,0,45,0,134264.04,1,1,0,27822.99,0,0,134264.04,4.825651017378075,0.0,0,0,1,0
490,1,31,3,145260.23,1,0,1,114066.77,0,1,145260.23,1.273466672195592,0.0967741935483871,0,1,0,0
804,1,33,7,76548.6,1,0,1,98453.45,0,1,76548.6,0.7775105900301108,0.21212121212121213,0,1,0,0
850,1,36,7,0.0,1,1,1,40812.9,0,0,0.0,0.0,0.19444444444444445,1,1,0,0
582,1,41,6,70349.48,2,0,1,178074.04,1,0,35174.74,0.3950574716000153,0.14634146341463414,0,1,0,0
472,1,40,4,0.0,1,1,0,70154.22,0,1,0.0,0.0,0.1,1,1,0,0
465,0,51,8,122522.32,1,0,0,181297.65,0,0,122522.32,0.675807546319547,0.1568627450980392,0,0,1,0
556,0,61,2,117419.35,1,1,1,94153.83,0,0,117419.35,1.2471011535059169,0.03278688524590164,0,0,0,1
