CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Geography_Germany,Geography_Spain,Gender,Cluster,Exited,Segment,ChurnProbability,RiskBand
619,42,2,0.0,1,1,1,101348.88,0,0,0,3,1,Low-Balance Multi-Product Users,0.679204855507611,High
608,41,1,83807.86,1,0,1,112542.58,0,1,0,2,0,Young Engaged Mass-Market,0.2693950101288338,Medium
502,42,8,159660.8,3,1,0,113931.57,0,0,0,1,1,Affluent Low-Product Users,0.9241936630735686,Very High
699,39,1,0.0,2,0,0,93826.63,0,0,0,3,0,Low-Balance Multi-Product Users,0.05398799493797175,Low
850,43,2,125510.82,1,1,1,79084.1,0,1,0,2,0,Young Engaged Mass-Market,0.06915687953437512,Low
645,44,8,113755.78,2,1,0,149756.71,0,1,1,2,1,Young Engaged Mass-Market,0.6105563933338527,High
822,50,7,0.0,2,1,1,10062.8,0,0,1,3,0,Low-Balance Multi-Product Users,0.11485296743336872,Low
376,29,4,115046.74,4,1,0,119346.88,1,0,0,0,1,High-Risk German Affluent,0.906762862134748,Very High
501,44,4,142051.07,2,0,1,74940.5,0,0,1,1,0,Affluent Low-Product Users,0.21271101552019409,Low
684,27,2,134603.88,1,1,1,71725.73,0,0,1,1,0,Affluent Low-Product Users,0.054934789396946695,Low
528,31,6,102016.72,2,0,0,80181.12,0,0,1,1,0,Affluent Low-Product Users,0.0899751857103956,Low
497,24,3,0.0,2,1,0,76390.01,0,1,1,2,0,Young Engaged Mass-Market,0.0025865497497917908,Low
476,34,10,0.0,2,1,0,26260.98,0,0,0,3,0,Low-Balance Multi-Product Users,0.01671417252425354,Low
549,25,5,0.0,2,0,0,190857.79,0,0,0,3,0,Low-Balance Multi-Product Users,0.026828675263008542,Low
635,35,7,0.0,2,1,1,65951.65,0,1,0,2,0,Young Engaged Mass-Market,0.049668146382003925,Low
616,45,3,143129.41,2,0,1,64327.26,1,0,1,0,0,High-Risk German Affluent,0.15340774402552465,Low
653,58,1,132602.88,1,1,0,5097.67,1,0,1,0,1,High-Risk German Affluent,0.9473876350415013,Very High
549,24,9,0.0,2,1,1,14406.41,0,1,0,2,0,Young Engaged Mass-Market,0.02432179196457365,Low
587,45,6,0.0,1,0,0,158684.81,0,1,1,2,0,Young Engaged Mass-Market,0.5231154542034718,High
726,24,6,0.0,2,1,1,54724.03,0,0,0,3,0,Low-Balance Multi-Product Users,0.04079295871646597,Low
732,41,8,0.0,2,1,1,170886.17,0,0,1,3,0,Low-Balance Multi-Product Users,0.040791968723854106,Low
636,32,8,0.0,2,1,0,138555.46,0,1,0,2,0,Young Engaged Mass-Market,0.06983790051205196,Low
510,38,4,0.0,1,1,0,118913.53,0,1,0,2,1,Young Engaged Mass-Market,0.41659896489740383,Medium
669,46,3,0.0,2,0,1,8487.75,0,0,1,3,0,Low-Balance Multi-Product Users,0.06508525976728824,Low
846,38,5,0.0,1,1,1,187616.16,0,0,0,3,0,Low-Balance Multi-Product Users,0.15903717028684974,Low
577,25,3,0.0,2,0,1,124508.29,0,0,1,3,0,Low-Balance Multi-Product Users,0.018556601728336806,Low
756,36,2,136815.64,1,1,1,170041.95,1,0,1,0,0,High-Risk German Affluent,0.21312919887949433,Low
